query_run_id,dominant_cluster,max_membership,membership_entropy,membership_entropy_normalized,nearest_center_distance,top2_margin,membership_c0,membership_c1,membership_c2,membership_c3,dataset,ood_above_frozen_p99,distance_over_p99
20260706T014631Z-clean-run-eu-us-gac-validation-holdo--2a351b6fd98e--_tenant_id-100__us_tenant_id-10001__lookback_days-7,0,0.8322970866678778,0.583228839761777,0.42071067741386975,0.29397587211935416,0.7115774782175226,0.8322970866678778,0.028386991648010434,0.12071960845035525,0.01859631323375651,validation_holdout_195,False,0.2963193874119146
20260706T014646Z-clean-run-eu-us-gac-validation-holdo--7daa1a67fa0c--_tenant_id-800__us_tenant_id-10020__lookback_days-7,0,0.8296171518647986,0.5895953154980653,0.42530311890021133,0.29602861944111575,0.7069786404860483,0.8296171518647986,0.028873056722989933,0.12263851137875026,0.01887128003346117,validation_holdout_195,False,0.29838849881384927
20260706T014738Z-clean-run-eu-us-gac-validation-holdo--00ad1f3ecd74--ault__q10_top_tenants__lookback_days-30__limit_k-25,0,0.9272701607846776,0.31337489221745196,0.2260522014706157,0.20049277547040753,0.8724460566883302,0.9272701607846776,0.01050873904144459,0.05482410409634739,0.007396996077530479,validation_holdout_195,False,0.20209106271070193
20260706T014751Z-clean-run-eu-us-gac-validation-holdo--a90b4cc93813--fault__q10_top_tenants__lookback_days-7__limit_k-25,0,0.9288061113122763,0.3085010982386637,0.22253650226885952,0.1983191220090412,0.875209301779155,0.9288061113122763,0.010201275687470118,0.053596809533121334,0.0073958034671322975,validation_holdout_195,False,0.1999000813302424
20260706T014936Z-clean-run-eu-us-gac-validation-holdo--0445c3fbda7e--__limit_k-100__payload_repeat-64__payload_width-512,1,0.9789563953632661,0.12017165260282273,0.08668552363276182,0.1549581314576726,0.9659047779278755,0.006299463022896371,0.9789563953632661,0.013051617435390567,0.001692524178447116,validation_holdout_195,False,0.1561934258652021
20260706T014952Z-clean-run-eu-us-gac-validation-holdo--d4d2564dfbda--__limit_k-250__payload_repeat-64__payload_width-512,1,0.9735215051396405,0.14484921518444596,0.10448662221162927,0.16475252202464152,0.9569199609639972,0.007800282665178163,0.9735215051396405,0.016601544175643308,0.002076668019538089,validation_holdout_195,False,0.16606589530275834
20260706T015140Z-clean-run-eu-us-gac-validation-holdo--87abdb8ed906--__limit_k-100__payload_repeat-64__payload_width-512,1,0.9789556589034526,0.12017473922679477,0.0866877501613106,0.15496256033072056,0.965903136775269,0.006299272353390375,0.9789556589034526,0.013052522128183664,0.001692546614973398,validation_holdout_195,False,0.15619789004431664
20260706T015157Z-clean-run-eu-us-gac-validation-holdo--a0c852392ed0--__limit_k-250__payload_repeat-64__payload_width-512,1,0.973520923449778,0.14485132882565002,0.10448814688147093,0.16475642120441217,0.9569184595813053,0.007799944153115335,0.973520923449778,0.016602463868472757,0.0020766685286339823,validation_holdout_195,False,0.1660698255659895
20260706T015330Z-clean-run-eu-us-gac-validation-holdo--f7f7ce3034e2--vent_filter_summary__lookback_days-1__min_value-900,2,0.932246658391146,0.3045139083878999,0.21966035275646964,0.20594402451269336,0.8889007600899484,0.04334589830119754,0.019356417177958222,0.932246658391146,0.005051026129698274,validation_holdout_195,False,0.20758576799108666
20260706T015345Z-clean-run-eu-us-gac-validation-holdo--6ceba7460c1f--__limit_k-100__payload_repeat-64__payload_width-512,1,0.9789559306764967,0.12017359327831768,0.0866869235342181,0.15496096978683438,0.9659037341812289,0.006299335193656944,0.9789559306764967,0.013052196495267827,0.001692537634578519,validation_holdout_195,False,0.15619628682094117
