query_run_id,dominant_cluster,max_membership,membership_entropy,membership_entropy_normalized,nearest_center_distance,top2_margin,membership_c0,membership_c1,membership_c2,membership_c3
20260626T115326Z-clean-run-eu-us-gac-v1__pilot-balanc--44871847f974--fdw_global_user_join__lookback_days-14__limit_k-100,1,0.9903422051989422,0.06320360694757962,0.04559176515478418,0.13131215458950088,0.9847959706825189,0.003185588129819729,0.9903422051989422,0.005546234516423333,0.0009259721548147506
20260626T115347Z-clean-run-eu-us-gac-v1__pilot-balanc--c7c8afe06427--__limit_k-250__payload_repeat-64__payload_width-512,2,0.5147476315579191,1.2070801095275159,0.870724243985527,0.6147569172349244,0.29370292417384497,0.22104470738407417,0.11159799585843415,0.5147476315579191,0.15260966519957256
20260626T115402Z-clean-run-eu-us-gac-v1__pilot-balanc--20a5fbf596e5--tenant_id-1000__us_tenant_id-10100__lookback_days-1,0,0.8724558841214448,0.48265676147900927,0.34816325811864696,0.2647228144793909,0.7813517738727355,0.8724558841214448,0.02151064274469693,0.09110411024870935,0.014929362885148985
20260626T115418Z-clean-run-eu-us-gac-v1__pilot-balanc--476c33bb9417--multi_dimension_rollup__lookback_days-1__limit_k-50,1,0.9473079619034409,0.25472918655104204,0.183748267103434,0.2427160738526804,0.9174772047880324,0.01762563670643332,0.9473079619034409,0.029830757115408533,0.005235644274717229
20260626T115437Z-clean-run-eu-us-gac-v1__pilot-balanc--f5a4e6eff71c--vent_filter_summary__lookback_days-7__min_value-100,1,0.9927697643743213,0.04925457752594943,0.03552966736888412,0.11152464642363161,0.9884892273057425,0.0023266574684814053,0.9927697643743213,0.0042805370685788015,0.0006230410886185617
20260626T115456Z-clean-run-eu-us-gac-v1__pilot-balanc--8c8f902e7af4--multi_dimension_rollup__lookback_days-1__limit_k-25,1,0.9511904469628395,0.23979066387187292,0.17297240080971168,0.2383210386254996,0.9235496938335898,0.016318182231577084,0.9511904469628395,0.027640753129249792,0.004850617676333559
20260626T115524Z-clean-run-eu-us-gac-v1__pilot-balanc--b9a90f4f18bd--eu_tenant_id-5__us_tenant_id-10001__lookback_days-7,0,0.8323447483108282,0.5831159135786942,0.42062921839170975,0.29393983072746005,0.7116597549642347,0.8323447483108282,0.028378700603659456,0.12068499334659345,0.018591557738918983
20260626T115540Z-clean-run-eu-us-gac-v1__pilot-balanc--de25ce8c43a3--egion_global_user_join__lookback_days-7__limit_k-50,1,0.9866724111602745,0.08291088286596873,0.05980755977322941,0.14870171110758792,0.9790118824264552,0.004379579294359617,0.9866724111602745,0.0076605287338192395,0.0012874808115466811
20260626T115607Z-clean-run-eu-us-gac-v1__pilot-balanc--5c4aa83c327f--enant_point_rollup__tenant_id-500__lookback_days-14,0,0.8201879930383317,0.6121911412939848,0.4416025618104933,0.3042810113589904,0.6911391876983897,0.8201879930383317,0.030679545898364056,0.12904880533994198,0.02008365572336212
20260626T115623Z-clean-run-eu-us-gac-v1__pilot-balanc--1f012d8d8d3d--_tenant_tier_left_join__lookback_days-1__limit_k-50,1,0.8595800520023152,0.5359530042186568,0.38660837066789894,0.35894749314972885,0.7832719049268264,0.0502844837605529,0.8595800520023152,0.07630814707548889,0.01382731716164284
20260626T115644Z-clean-run-eu-us-gac-v1__pilot-balanc--028de9a85102--_rollup__lookback_days-1__min_value-100__limit_k-25,1,0.9853904868789211,0.0891983127373385,0.06434298172091056,0.14424931956914488,0.9766639303351543,0.0045829804276067065,0.9853904868789211,0.008726556543766712,0.0012999761497054793
20260626T115707Z-clean-run-eu-us-gac-v1__pilot-balanc--07b221e1ad61--eu_tenant_id-1__us_tenant_id-11000__lookback_days-7,0,0.8326896389822742,0.5822935921544006,0.42003603887128715,0.29367602322332603,0.7122521281714775,0.8326896389822742,0.028316490241930073,0.12043751081079666,0.018556359964999058
20260626T115723Z-clean-run-eu-us-gac-v1__pilot-balanc--d44a2f294d79--egion_user_value_topk__lookback_days-30__limit_k-10,1,0.9781271468892166,0.1250837922193809,0.09022888336524316,0.17535361457985696,0.9654293149025333,0.00704924028550054,0.9781271468892166,0.012697831986683443,0.0021257808385995933
20260626T115746Z-clean-run-eu-us-gac-v1__pilot-balanc--b99f0d332316--enant_point_rollup__tenant_id-1000__lookback_days-3,0,0.8510995541347038,0.5378576741209745,0.38798229957920105,0.2808250440396172,0.7443013363436911,0.8510995541347038,0.025136643906657354,0.10679821779101276,0.016965584167625926
20260626T115801Z-clean-run-eu-us-gac-v1__pilot-balanc--b93f4ef9a3a7--_fdw_global_user_join__lookback_days-14__limit_k-10,1,0.9903448847063109,0.06318864163339048,0.04558096996250117,0.131300658117337,0.9848000141872593,0.0031845497789548868,0.9903448847063109,0.005544870519051629,0.0009256949956826832
20260626T115822Z-clean-run-eu-us-gac-v1__pilot-balanc--3c79e3e49f61--__gac_etl_top_tenants__lookback_days-14__limit_k-50,3,0.9987722931936394,0.010712137365637609,0.007727173727363371,0.07766904416616449,0.998176006706237,0.0005962864874024352,0.000216366042783844,0.0004150542761742886,0.9987722931936394
