query_run_id,k,dominant_cluster,max_membership,nearest_center_distance,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2
20260626T114505Z-clean-run-eu-us-gac-v1__pilot-balanc--de704aced79b--enant_point_rollup__tenant_id-1000__lookback_days-1,3,0,0.9988885781968728,0.08725132407668072,0.9980846021947178,0.9988885781968728,0.08725132407668072,0.0003074458009722776,1.4787133533556778,0.0008039760021549976,1.0562528962965918
20260626T114520Z-clean-run-eu-us-gac-v1__pilot-balanc--9b4c753a2606--egion_tenant_tier_join__lookback_days-3__limit_k-10,3,1,0.9477763275792902,0.3055038306084239,0.9059030966874524,0.01035044152887202,1.4846637452275055,0.9477763275792902,0.3055038306084239,0.04187323089183785,0.9103029391276746
20260626T114543Z-clean-run-eu-us-gac-v1__pilot-balanc--b384222632f1--_fdw_user_segment_join__lookback_days-7__limit_k-50,3,1,0.993957535041557,0.14280284905022908,0.9891487369085222,0.0012336668254080434,1.4855810555515894,0.993957535041557,0.14280284905022908,0.00480879813303486,0.9227898766839439
20260626T114604Z-clean-run-eu-us-gac-v1__pilot-balanc--c60cefe42ed2--_fdw_global_user_join__lookback_days-3__limit_k-100,3,1,0.9955393958391768,0.1284160530170398,0.9919936217163599,0.0009148300380062397,1.4841255081615645,0.9955393958391768,0.1284160530170398,0.0035457741228169704,0.9237211805904383
20260626T114623Z-clean-run-eu-us-gac-v1__pilot-balanc--f25ee678287d--etl_user_segment_topk__lookback_days-30__limit_k-10,3,0,0.9980071503666029,0.10797003418638475,0.9965765181405118,0.9980071503666029,0.10797003418638475,0.0005622174073060482,1.4809265409890975,0.0014306322260910613,1.067985155181742
20260626T114638Z-clean-run-eu-us-gac-v1__pilot-balanc--6e8351e4cfc6--_tenant_tier_left_join__lookback_days-3__limit_k-25,3,1,0.9383208121001593,0.3213781739081179,0.888757219562272,0.012115595361953441,1.4728844761569495,0.9383208121001593,0.3213781739081179,0.049563592537887224,0.8995646456909653
20260626T114657Z-clean-run-eu-us-gac-v1__pilot-balanc--ef5bcb70f647--time-default__gac_etl_local_rollup__lookback_days-1,3,0,0.9988885781968728,0.08725132407668072,0.9980846021947178,0.9988885781968728,0.08725132407668072,0.0003074458009722776,1.4787133533556778,0.0008039760021549976,1.0562528962965918
20260626T114713Z-clean-run-eu-us-gac-v1__pilot-balanc--9ee7f72814a6--tenant_point_rollup__tenant_id-100__lookback_days-3,3,0,0.9988885781968728,0.08725132407668072,0.9980846021947178,0.9988885781968728,0.08725132407668072,0.0003074458009722776,1.4787133533556778,0.0008039760021549976,1.0562528962965918
20260626T114727Z-clean-run-eu-us-gac-v1__pilot-balanc--e8c5b4ab360e--_tenant_point_rollup__tenant_id-5__lookback_days-14,3,0,0.9988885781968728,0.08725132407668072,0.9980846021947178,0.9988885781968728,0.08725132407668072,0.0003074458009722776,1.4787133533556778,0.0008039760021549976,1.0562528962965918
20260626T114743Z-clean-run-eu-us-gac-v1__pilot-balanc--8f38da54d9b8--vent_filter_summary__lookback_days-1__min_value-500,3,1,0.9922498052133556,0.1500926610874478,0.986000917409143,0.0015013069824317492,1.4568421185831293,0.9922498052133556,0.1500926610874478,0.006248887804212663,0.8843941493079241
20260626T114803Z-clean-run-eu-us-gac-v1__pilot-balanc--3f158ec7be56--ent_filter_summary__lookback_days-14__min_value-500,3,1,0.9915609255136416,0.15329264778825205,0.9847500321880736,0.0016281811607902841,1.4458963564698077,0.9915609255136416,0.15329264778825205,0.006810893325568062,0.8762170300391048
