query_run_id,k,dominant_cluster,max_membership,nearest_center_distance,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2,membership_c3,distance_c3
20260626T115347Z-clean-run-eu-us-gac-v1__pilot-balanc--c7c8afe06427--__limit_k-250__payload_repeat-64__payload_width-512,4,2,0.514747631557919,0.6147569172349244,0.2937029241738449,0.2210447073840741,0.8264058956243729,0.1115979958584341,1.0497399142664843,0.514747631557919,0.6147569172349244,0.15260966519957267,0.9408225868809132
20260626T115402Z-clean-run-eu-us-gac-v1__pilot-balanc--20a5fbf596e5--tenant_id-1000__us_tenant_id-10100__lookback_days-1,4,0,0.8724558841214448,0.26472281447939083,0.7813517738727356,0.8724558841214448,0.26472281447939083,0.021510642744696905,0.9674374664161396,0.09110411024870922,0.5837317263525034,0.014929362885148982,1.0993529396459056
20260626T115418Z-clean-run-eu-us-gac-v1__pilot-balanc--476c33bb9417--multi_dimension_rollup__lookback_days-1__limit_k-50,4,1,0.947307961903441,0.24271607385268035,0.9174772047880325,0.01762563670643332,0.9788581677359222,0.947307961903441,0.24271607385268035,0.029830757115408533,0.814212859774205,0.005235644274717229,1.497031393968615
20260626T115437Z-clean-run-eu-us-gac-v1__pilot-balanc--f5a4e6eff71c--vent_filter_summary__lookback_days-7__min_value-100,4,1,0.9927697643743213,0.11152464642363175,0.9884892273057425,0.0023266574684814145,0.9287770743212271,0.9927697643743213,0.11152464642363175,0.00428053706857882,0.7503146961214635,0.0006230410886185643,1.4729466047012123
20260626T115456Z-clean-run-eu-us-gac-v1__pilot-balanc--8c8f902e7af4--multi_dimension_rollup__lookback_days-1__limit_k-25,4,1,0.9511904469628395,0.23832103862549955,0.9235496938335896,0.01631818223157708,0.9888282794982554,0.9511904469628395,0.23832103862549955,0.027640753129249795,0.822268296078477,0.00485061767633356,1.51191381400887
20260626T115524Z-clean-run-eu-us-gac-v1__pilot-balanc--b9a90f4f18bd--eu_tenant_id-5__us_tenant_id-10001__lookback_days-7,4,0,0.8323447483108283,0.29393983072746,0.711659754964235,0.8323447483108283,0.29393983072746,0.028378700603659435,0.9589968879881344,0.12068499334659333,0.5778111660857715,0.018591557738918983,1.1119981177613592
20260626T115540Z-clean-run-eu-us-gac-v1__pilot-balanc--de25ce8c43a3--egion_global_user_join__lookback_days-7__limit_k-50,4,1,0.9866724111602744,0.14870171110758792,0.9790118824264551,0.004379579294359621,0.9903191400680238,0.9866724111602744,0.14870171110758792,0.0076605287338192465,0.8143028402570325,0.001287480811546682,1.5200827928683704
20260626T115607Z-clean-run-eu-us-gac-v1__pilot-balanc--5c4aa83c327f--enant_point_rollup__tenant_id-500__lookback_days-14,4,0,0.8201879930383319,0.30428101135899027,0.6911391876983901,0.8201879930383319,0.30428101135899027,0.030679545898364028,0.9610531778762919,0.1290488053399418,0.581273665349805,0.02008365572336212,1.1146783724257967
20260626T115623Z-clean-run-eu-us-gac-v1__pilot-balanc--1f012d8d8d3d--_tenant_tier_left_join__lookback_days-1__limit_k-50,4,1,0.8595800520023151,0.358947493149729,0.7832719049268262,0.050284483760553014,0.9694585406536055,0.8595800520023151,0.358947493149729,0.076308147075489,0.8377825720612225,0.013827317161642861,1.5232558895894335
20260626T115644Z-clean-run-eu-us-gac-v1__pilot-balanc--028de9a85102--_rollup__lookback_days-1__min_value-100__limit_k-25,4,1,0.985390486878921,0.1442493195691449,0.9766639303351542,0.004582980427606711,0.9450937696804513,0.985390486878921,0.1442493195691449,0.008726556543766723,0.75436526612432,0.0012999761497054806,1.4689239657993238
20260626T115707Z-clean-run-eu-us-gac-v1__pilot-balanc--07b221e1ad61--eu_tenant_id-1__us_tenant_id-11000__lookback_days-7,4,0,0.8326896389822743,0.2936760232233259,0.7122521281714779,0.8326896389822743,0.2936760232233259,0.028316490241930038,0.9590114644726592,0.12043751081079647,0.5777912718000896,0.01855635996499905,1.111898439923371
20260626T115723Z-clean-run-eu-us-gac-v1__pilot-balanc--d44a2f294d79--egion_user_value_topk__lookback_days-30__limit_k-10,4,1,0.9781271468892166,0.17535361457985688,0.9654293149025333,0.007049240285500537,0.9856058481696651,0.9781271468892166,0.17535361457985688,0.012697831986683433,0.8021354867495559,0.002125780838599591,1.499414170777437
20260626T115746Z-clean-run-eu-us-gac-v1__pilot-balanc--b99f0d332316--enant_point_rollup__tenant_id-1000__lookback_days-3,4,0,0.8510995541347042,0.2808250440396171,0.7443013363436916,0.8510995541347042,0.2808250440396171,0.025136643906657315,0.9634327611041104,0.1067982177910126,0.5806729037902645,0.016965584167625915,1.105553786535324
