condition_id,metric,observed_repetitions,mean,standard_deviation,coefficient_of_variation,median,mad,robust_relative_dispersion,minimum,maximum
cond-3f66556ae8c298eab74d,main_root_actual_total_time_ms,3,1109.1706666666666,28.60881894334922,0.02579298191262651,1116.448,16.99000000000001,0.022562066482272356,1077.626,1133.438
cond-40aea493e6e3b117a24a,elapsed_seconds,3,1.157716,0.13074706970712577,0.11293535695034514,1.200569,0.06109000000000009,0.07544092342880761,1.01092,1.261659
cond-40aea493e6e3b117a24a,main_root_actual_total_time_ms,3,1077.7883333333334,125.0743182964965,0.11604720001901718,1124.815,47.71799999999985,0.06289630454785877,936.017,1172.533
cond-40cccee0a49f23e922e5,elapsed_seconds,3,92.061622,0.07062501027964856,0.0007671493152667738,92.050715,0.05362999999999829,0.0008637829483453492,91.997085,92.137066
cond-40cccee0a49f23e922e5,main_root_actual_total_time_ms,3,91013.993,75.3606087820394,0.0008280112353936544,91000.789,54.6820000000007,0.0008908882449359974,90946.107,91095.083
cond-464dce3840415e29aed7,elapsed_seconds,3,0.39615,0.05421763529516941,0.13686137901090348,0.422887,0.00891900000000001,0.03126913194304865,0.333757,0.431806
cond-464dce3840415e29aed7,main_root_actual_total_time_ms,3,332.377,51.28967294690034,0.15431173922052469,352.448,18.148000000000025,0.07634097739240976,274.087,370.596
cond-474460353c8cb8a30093,elapsed_seconds,3,0.36168666666666666,0.016820777161990253,0.04650648948995517,0.365551,0.010687999999999975,0.04334833935620464,0.34327,0.376239
cond-474460353c8cb8a30093,main_root_actual_total_time_ms,3,285.276,22.280041920965946,0.07809995204982524,291.008,13.122000000000014,0.06685272294919735,260.69,304.13
cond-49c0893fa0327bc1ad95,elapsed_seconds,5,0.24515019999999996,0.019731989907254673,0.08048938939170629,0.253642,0.007930000000000048,0.046352804346283624,0.214393,0.261572
cond-49c0893fa0327bc1ad95,main_root_actual_total_time_ms,5,175.9318,17.90431994519758,0.10176852590150036,177.479,13.626000000000005,0.1138270308036444,152.491,194.846
cond-4ce68d2509565ea28322,elapsed_seconds,3,0.042929999999999996,0.0016652966702662905,0.03879097764421828,0.042254,0.0005449999999999969,0.01912285227434078,0.041709,0.044827
cond-4ce68d2509565ea28322,main_root_actual_total_time_ms,3,0.48966666666666664,0.07480864477674576,0.1527746319470642,0.477,0.05499999999999999,0.1709496855345912,0.422,0.57
cond-4f778474755e588e8aa1,elapsed_seconds,5,0.4760444,0.02660649645857193,0.05589078762101168,0.481751,0.02167900000000006,0.06671763089230762,0.444685,0.50343
cond-4f778474755e588e8aa1,main_root_actual_total_time_ms,5,400.4122,24.821273309401356,0.0619893032964564,405.183,21.74200000000002,0.07955587771451425,371.377,426.925
cond-5e469422c082309ca012,elapsed_seconds,5,0.20030300000000004,0.017411647552715973,0.08692654404934509,0.193185,0.005959999999999993,0.0457400729870331,0.187225,0.230274
