query_run_id,hard_cluster,max_membership,top2_margin,membership_entropy,nearest_center_distance,nearest_center_distance_baseline_percentile,display_state,membership_c0,membership_c1,membership_c2,membership_c3
20260724T224911Z-repeatability-v1__pilot-balanced-v1_--523887f7556f--egion_global_user_join__lookback_days-7__limit_k-25,0,0.7454224834964536,0.58916773660709,0.7927097338731984,2.6682939806916037,0.5514256619144603,clear_prototype,0.7454224834964536,0.15625474688936353,0.024856480390780273,0.07346628922340254
20260724T224929Z-repeatability-v1__pilot-balanced-v1_--b236a78a235a--_rollup__lookback_days-7__min_value-900__limit_k-10,1,0.5136038874565838,0.19015289511685324,1.1120951378564565,2.6086394120003455,0.539714867617108,mixed_boundary,0.09896563289352193,0.5136038874565838,0.06397948731016365,0.32345099233973057
20260724T224944Z-repeatability-v1__pilot-balanced-v1_--31c4f9cf00d4--c_fdw_daily_rollup__lookback_days-14__min_value-900,3,0.45301153776904407,0.16179357503475206,1.2439818764564115,3.3043481059160373,0.7194501018329938,mixed_boundary,0.12614531517035926,0.291217962734292,0.12962518432630463,0.45301153776904407
20260724T224958Z-repeatability-v1__pilot-balanced-v1_--4f19a423aa55--ion_global_user_join__lookback_days-30__limit_k-100,0,0.5283813156448728,0.29858752817511475,1.173042588272355,5.721618539433258,0.9058044806517311,mixed_boundary,0.5283813156448728,0.22979378746975804,0.08183245547570135,0.1599924414096678
20260724T225019Z-repeatability-v1__pilot-balanced-v1_--39121cff7924--c_fdw_multiregion_event_full_scan_summary__case-001,2,0.2846519769198259,0.03040098665662183,1.381219017663132,13.188027348293026,0.9928716904276986,weak_prototype_coverage,0.21400982597459897,0.24708720684237104,0.2846519769198259,0.2542509902632041
20260724T225033Z-repeatability-v1__pilot-balanced-v1_--69dc67f92ca9--ac_fdw_daily_rollup__lookback_days-3__min_value-900,3,0.37483923463736685,0.08448369504719949,1.3249210876976185,4.417691338349149,0.8355397148676171,mixed_boundary,0.17533634393050362,0.29035553959016736,0.1594688818419621,0.37483923463736685
20260724T225047Z-repeatability-v1__pilot-balanced-v1_--58cfb4b3bbf2--tenant_tier_left_join__lookback_days-1__limit_k-100,0,0.3959512790454928,0.10538133160516383,1.2849049686631777,4.366038827293703,0.8324847250509165,mixed_boundary,0.3959512790454928,0.290569947440329,0.09874350008252722,0.21473527343165097
20260724T225104Z-repeatability-v1__pilot-balanced-v1_--c1319a544c62--tenant_tier_left_join__lookback_days-14__limit_k-50,0,0.4065100577987402,0.09939994625486998,1.2424346482739468,3.036785521830918,0.6384928716904277,mixed_boundary,0.4065100577987402,0.30711011154387025,0.06705390418890228,0.21932592646848728
20260724T225119Z-repeatability-v1__pilot-balanced-v1_--2b4ae3682b4a--_fdw_global_user_join__lookback_days-7__limit_k-100,0,0.8166614478098826,0.6926621689764938,0.621510180672246,1.730671375542928,0.32026476578411406,clear_prototype,0.8166614478098826,0.12399927883338878,0.011845445530669728,0.047493827826059
20260724T225134Z-repeatability-v1__pilot-balanced-v1_--06be579fe53c--nt_rollup__lookback_days-3__min_value-0__limit_k-50,1,0.8186906605298391,0.728574807432602,0.6374969688647341,1.3865359858114499,0.20723014256619143,clear_prototype,0.09011585309723717,0.8186906605298391,0.013624153981086757,0.07756933239183696
20260724T225151Z-repeatability-v1__pilot-balanced-v1_--06be579fe53c--nt_rollup__lookback_days-3__min_value-0__limit_k-50,1,0.8187003137893211,0.7285659935648231,0.6374776817993617,1.386662714083201,0.20723014256619143,clear_prototype,0.090134320224498,0.8187003137893211,0.013627740847804088,0.07753762513837699
