pair_id,coordinator_fanin_rows,coordinator_fanin_bytes_estimated,coordinator_final_rows,coordinator_non_foreign_time_share_proxy,coordinator_join_operator_count,remote_region_actual_rows_sum,remote_region_tuple_bytes_sum,remote_region_task_count_sum,remote_citus_dependent_map_task_count_sum,remote_citus_repartition_fanout_ratio_max,worker_task_actual_rows_sum,worker_task_scan_actual_rows_sum,regional_coordinator_tx_bytes_sum,analytics_rx_bytes_sum,worker_tx_bytes_sum,os_cpu_busy_pct_mean,os_mem_used_peak_bytes_max,os_disk_read_bytes_sum,os_disk_written_bytes_sum,scenario_level,dataset_size_class,stressed_template_id,dataset_profile_id,logical_question_id,target_log2_gain,correctness_recovery_applied
pair-590eacbfdefe1cda1b3d6078,14160.0,339840.0,1.0,0.000576814620209,0.0,2062616.0,213909504.0,24.0,256.0,10.666666666666666,62616.0,62616.0,6678670.0,3808678.0,271016522.0,37.4885,899657728.0,24576.0,2062852096.0,moderate,large,gac_fdw_single_edge_repartition_join_summary_pair,raw-large-balanced-wide-global-dim-v1,joined_event_summary,5.320023961943229,False
pair-5e91a538e4653bae3c1924a7,102.0,2448.0,1.0,9.34204790698376e-06,0.0,2003216.0,213909504.0,24.0,256.0,10.666666666666666,3216.0,3216.0,3080132.0,199768.0,267330990.0,37.0005,897740800.0,106496.0,1969283072.0,sparse,large,gac_fdw_single_edge_repartition_join_summary_pair,raw-large-balanced-wide-global-dim-v1,joined_event_summary,6.253595228536984,False
pair-627413093027b16d7876bb94,2826.0,203472.0,5.0,0.0005060946309889,0.0,212421.0,20971520.0,24.0,128.0,5.333333333333333,12421.0,12421.0,1764155.0,867511.0,27678326.0,37.9085,779497472.0,0.0,5357568.0,moderate,medium,gac_fdw_single_edge_repartition_user_join_pair,pilot-balanced-v1,user_segment_topk,5.087419591466871,False
pair-630c00bc41474d2307b6c70e,19384.0,465216.0,1.0,0.0055218040559409,0.0,40000.0,2146304.0,24.0,64.0,2.6666666666666665,20000.0,20000.0,1634655.0,1204251.0,4068036.0,37.96775,778424320.0,0.0,1679360.0,broad,small,gac_fdw_single_edge_repartition_join_summary_pair,raw-small-balanced-v1,joined_event_summary,3.929803356165132,False
pair-69cf20fce6fda01a2b4dfaec,19384.0,465216.0,1.0,0.0049162126676722,0.0,40000.0,2146304.0,24.0,64.0,2.6666666666666665,20000.0,20000.0,1637217.0,1204031.0,5157597.0,38.59725,781336576.0,0.0,2973696.0,broad,small,gac_fdw_single_edge_repartition_join_summary_pair,raw-small-balanced-wide-global-dim-v1,joined_event_summary,3.9301012582149935,False
pair-6f953d2b33756dc4d827ee3e,2826.0,248688.0,100.0,0.0005806400190856,0.0,212421.0,20971520.0,24.0,128.0,5.333333333333333,12421.0,12421.0,1938351.0,1038197.0,27669778.0,37.8745,783282176.0,8192.0,5595136.0,moderate,medium,gac_fdw_single_edge_repartition_user_value_topk_pair,pilot-balanced-v1,joined_user_value_topk,5.070862765221055,False
pair-70e89374a4b08a64ca284bef,25.0,2200.0,24.0,1.5696046598903393e-05,0.0,200590.0,20971520.0,24.0,128.0,5.333333333333333,590.0,590.0,987779.0,55159.0,37469034.0,38.9875,782450688.0,8192.0,51707904.0,sparse,medium,gac_fdw_single_edge_repartition_user_value_topk_pair,pilot-balanced-wide-global-dim-v1,joined_user_value_topk,5.749336148684676,False
pair-75b7c70df440dc18a9988b99,102.0,8976.0,95.0,1.291276791756356e-05,0.0,2003216.0,213909504.0,24.0,256.0,10.666666666666666,3216.0,3216.0,3171787.0,273547.0,270966161.0,37.2635,898494464.0,212992.0,2014257152.0,sparse,large,gac_fdw_single_edge_repartition_user_value_topk_pair,raw-large-balanced-wide-global-dim-v1,joined_user_value_topk,6.243909924282737,False
pair-798131851ea5127cefd2c974,1935744.0,139373568.0,11.0,0.0692039142000707,0.0,4000000.0,213909504.0,24.0,256.0,10.666666666666666,2000000.0,2000000.0,141498415.0,138747909.0,226609390.0,30.421750000000003,882921472.0,204800.0,1867022336.0,broad,large,gac_fdw_single_edge_repartition_user_join_pair,raw-large-balanced-v1,user_segment_topk,1.3858436140491055,False
pair-7a55c52232836acc3d3eeea7,19384.0,1705792.0,100.0,0.0076744220985178,0.0,40000.0,2146304.0,24.0,64.0,2.6666666666666665,20000.0,20000.0,2094919.0,1662955.0,5420349.0,37.62975,780259328.0,0.0,3129344.0,broad,small,gac_fdw_single_edge_repartition_user_value_topk_pair,raw-small-balanced-wide-global-dim-v1,joined_user_value_topk,3.8518993583733145,False
